Player,Team,No,Pos,Ht,Wt,Birthdate,Country,Exp,College,Salary,Age,G,GS,MP,FG,FGA,FG_pct,ThrP,ThrPA,ThrP_pct,TwoP,TwoPA,TwoP_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS_pct,ThrPA_rate,FT_rate,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,USG_pct,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,VORP
Gerald Green,BOS,30,SF,6.58,205,January 26 1986,us,9,,1410598,31,47,0,538,95,232,0.409,39,111,0.351,56,121,0.463,0.494,33,41,0.805,16,68,84,33,9,7,25,48,262,11.9,0.524,0.478,0.177,3.3,13.9,8.7,9.8,0.8,1.1,9.1,22.7,0.1,0.4,0.6,0.05,-2.0,-2.8,-4.7,-0.4
Al Horford,BOS,42,C,6.83,245,June 3 1986,do,9,University of Florida,26540100,30,68,68,2193,379,801,0.473,86,242,0.355,293,559,0.524,0.527,108,135,0.8,95,370,465,337,52,86,115,138,952,17.7,0.553,0.302,0.169,4.9,18.6,11.8,24.4,1.2,3.2,11.8,19.7,3.6,2.7,6.3,0.138,1.0,2.0,3.1,2.8
Demetrius Jackson,BOS,9,PG,6.08,201,September 7 1994,us,0,University of Notre Dame,1450000,22,5,0,17,3,4,0.75,1,1,1.0,2,3,0.667,0.875,3,6,0.5,2,2,4,3,0,0,0,0,10,30.8,0.753,0.25,1.5,13.2,13.0,13.1,28.2,0.0,0.0,0.0,17.3,0.1,0.0,0.1,0.386,9.2,-2.8,6.3,0.0
Jonas Jerebko,BOS,8,PF,6.83,231,March 2 1987,se,6,,5000000,29,78,6,1232,114,262,0.435,45,130,0.346,69,132,0.523,0.521,26,37,0.703,59,213,272,71,25,17,39,122,299,9.3,0.537,0.496,0.141,5.4,19.1,12.3,8.1,1.0,1.1,12.3,11.4,0.8,1.3,2.1,0.08,-2.4,0.3,-2.1,0.0
Amir Johnson,BOS,90,PF,6.75,240,May 1 1987,us,11,,12000000,29,80,77,1608,213,370,0.576,27,66,0.409,186,304,0.612,0.612,67,100,0.67,118,248,366,140,51,62,77,211,520,15.0,0.628,0.178,0.27,8.3,17.0,12.7,13.0,1.6,3.2,15.7,13.6,2.9,2.1,5.0,0.149,-0.2,2.4,2.2,1.7
Jordan Mickey,BOS,55,PF,6.67,235,July 9 1994,us,1,Louisiana State University,1223653,22,25,1,141,15,34,0.441,0,1,0.0,15,33,0.455,0.441,8,14,0.571,13,21,34,7,3,6,9,12,38,9.8,0.473,0.029,0.412,10.4,16.4,13.4,7.1,1.1,3.5,18.3,15.5,-0.1,0.2,0.1,0.036,-5.7,0.9,-4.9,-0.1
Kelly Olynyk,BOS,41,C,7.0,238,April 19 1991,ca,3,Gonzaga University,3094014,25,75,6,1538,260,508,0.512,68,192,0.354,192,316,0.608,0.579,90,123,0.732,73,288,361,148,43,29,96,207,678,15.3,0.603,0.378,0.242,5.3,20.7,13.1,15.2,1.4,1.5,14.6,19.0,2.2,1.9,4.1,0.127,0.1,0.5,0.7,1.0
Terry Rozier,BOS,12,PG,6.17,190,March 17 1994,us,1,University of Louisville,1906440,22,74,0,1263,151,411,0.367,57,179,0.318,94,232,0.405,0.437,51,66,0.773,40,187,227,131,46,11,47,69,410,10.9,0.466,0.436,0.161,3.6,16.3,10.0,15.2,1.8,0.7,9.7,17.1,0.0,1.4,1.4,0.054,-2.5,0.0,-2.5,-0.2
Marcus Smart,BOS,36,SG,6.33,220,March 6 1994,us,2,Oklahoma State University,3578880,22,79,24,2399,269,749,0.359,94,332,0.283,175,417,0.42,0.422,203,250,0.812,78,227,305,364,125,34,159,192,835,12.0,0.486,0.443,0.334,3.7,10.4,7.1,22.0,2.6,1.2,15.6,18.8,0.5,2.7,3.2,0.064,-1.1,0.9,-0.3,1.0
Isaiah Thomas,BOS,4,PG,5.75,185,February 7 1989,us,5,University of Washington,6587132,27,76,76,2569,682,1473,0.463,245,646,0.379,437,827,0.528,0.546,590,649,0.909,43,162,205,448,70,13,210,167,2199,26.5,0.625,0.439,0.441,1.9,7.0,4.4,32.5,1.4,0.4,10.7,34.0,10.9,1.6,12.5,0.234,8.7,-3.3,5.4,4.8
James Young,BOS,13,SG,6.5,215,August 16 1995,us,2,University of Kentucky,1825200,21,29,0,220,25,58,0.431,12,35,0.343,13,23,0.565,0.534,6,9,0.667,6,20,26,4,10,2,4,15,68,10.0,0.549,0.603,0.155,3.1,10.0,6.6,2.6,2.3,0.7,6.1,13.3,0.1,0.2,0.3,0.076,-2.0,-1.1,-3.1,-0.1
Tyler Zeller,BOS,44,C,7.0,253,January 17 1990,us,4,University of North Carolina,8000000,27,51,5,525,78,158,0.494,0,1,0.0,78,157,0.497,0.494,22,39,0.564,43,81,124,42,7,21,20,61,178,13.0,0.508,0.006,0.247,9.2,17.0,13.2,12.2,0.7,3.3,10.2,16.5,0.5,0.6,1.0,0.094,-3.3,0.8,-2.5,-0.1
Justin Anderson,PHI,23,SF,6.5,228,November 19 1993,us,1,University of Virginia,1514160,23,24,8,518,75,162,0.463,21,72,0.292,54,90,0.6,0.528,32,41,0.78,30,66,96,34,13,7,26,45,203,12.8,0.564,0.444,0.253,6.4,14.1,10.2,10.4,1.2,1.1,12.6,17.2,0.5,0.4,0.9,0.084,-0.4,-0.6,-1.0,0.1
Jerryd Bayless,PHI,0,PG,6.25,200,August 20 1988,us,8,University of Arizona,9424084,28,3,1,71,11,32,0.344,2,5,0.4,9,27,0.333,0.375,9,10,0.9,3,9,12,13,0,0,9,4,33,8.7,0.453,0.156,0.313,4.6,14.0,9.3,29.4,0.0,0.0,19.8,27.7,-0.1,0.0,-0.1,-0.067,-5.2,-2.9,-8.2,-0.1
Robert Covington,PHI,33,SF,6.75,215,December 14 1990,us,3,Tennessee State University,1015696,26,67,67,2119,292,732,0.399,137,412,0.333,155,320,0.484,0.492,143,174,0.822,92,344,436,102,127,69,131,203,864,13.2,0.534,0.563,0.238,4.8,17.9,11.3,7.5,2.9,2.6,13.9,19.2,0.0,3.2,3.1,0.071,-0.7,2.0,1.4,1.8
Joel Embiid,PHI,21,C,7.0,250,March 16 1994,cm,0,University of Kansas,4826160,22,31,31,786,200,429,0.466,36,98,0.367,164,331,0.495,0.508,191,244,0.783,61,182,243,66,27,76,117,112,627,24.1,0.584,0.228,0.569,8.5,25.6,17.0,16.0,1.7,7.7,17.9,36.0,0.5,1.5,1.9,0.117,0.0,3.2,3.1,1.0
Justin Harper,PHI,30,PF,6.83,225,August 30 1989,us,2,University of Richmond,57672,27,3,0,31,5,12,0.417,2,7,0.286,3,5,0.6,0.5,0,0,,2,3,5,2,0,0,4,2,12,4.9,0.5,0.583,0.0,7.1,10.7,8.9,10.5,0.0,0.0,25.0,22.4,-0.1,0.0,-0.1,-0.103,-5.1,-3.8,-8.9,-0.1
Gerald Henderson,PHI,12,SG,6.42,215,December 9 1987,us,7,Duke University,9000000,29,72,41,1667,234,553,0.423,61,173,0.353,173,380,0.455,0.478,133,165,0.806,34,151,185,112,40,15,62,129,662,10.8,0.529,0.313,0.298,2.2,10.0,6.1,10.5,1.2,0.7,9.0,17.9,1.0,1.0,2.0,0.059,-1.8,-1.3,-3.1,-0.5
Richaun Holmes,PHI,22,C,6.83,245,October 15 1993,us,1,Bowling Green State University,1025831,23,57,17,1193,230,412,0.558,27,77,0.351,203,335,0.606,0.591,72,103,0.699,94,217,311,58,42,55,55,136,559,18.6,0.611,0.187,0.25,8.7,20.1,14.4,8.3,1.7,3.7,10.7,18.6,2.2,1.6,3.8,0.151,0.2,1.5,1.7,1.1
Shawn Long,PHI,36,C,6.75,255,January 29 1993,us,0,University of Louisiana at Lafayette,96969,24,18,0,234,61,109,0.56,7,19,0.368,54,90,0.6,0.592,19,35,0.543,41,44,85,13,9,9,13,49,148,24.1,0.595,0.174,0.321,19.3,20.8,20.0,10.7,1.9,3.1,9.5,25.4,0.6,0.3,0.9,0.195,3.4,0.0,3.4,0.3
Timothe Luwawu-Cabarrot,PHI,20,SF,6.5,205,May 9 1995,fr,0,,1326960,21,69,19,1190,145,361,0.402,50,161,0.311,95,200,0.475,0.471,105,123,0.854,25,124,149,75,32,10,73,154,445,8.5,0.536,0.446,0.341,2.3,11.5,6.9,9.6,1.3,0.7,15.0,17.8,0.0,0.8,0.8,0.034,-2.8,-1.2,-4.0,-0.6
T.J. McConnell,PHI,1,PG,6.17,200,March 25 1992,us,1,Duquesne University,874636,24,81,51,2133,236,512,0.461,11,55,0.2,225,457,0.492,0.472,73,90,0.811,39,212,251,534,134,10,159,139,556,13.7,0.504,0.107,0.176,2.0,11.0,6.5,37.5,3.1,0.4,22.4,14.4,1.4,2.4,3.8,0.084,-2.0,0.1,-1.9,0.0
Jahlil Okafor,PHI,8,C,6.92,275,December 15 1995,us,1,Duke University,4788840,21,50,33,1134,242,471,0.514,0,0,,242,471,0.514,0.514,106,158,0.671,81,159,240,58,20,49,91,122,590,14.8,0.546,0.0,0.335,7.8,15.5,11.7,9.0,0.9,3.4,14.4,24.1,0.1,1.1,1.2,0.05,-3.4,0.1,-3.3,-0.4
Alex Poythress,PHI,5,PF,6.58,238,September 6 1993,us,0,University of Kentucky,38903,23,6,1,157,25,54,0.463,6,19,0.316,19,35,0.543,0.519,8,10,0.8,11,18,29,5,3,2,3,14,64,13.2,0.548,0.352,0.185,7.7,12.7,10.2,5.1,0.9,1.0,4.9,16.9,0.2,0.1,0.3,0.099,-0.6,-1.9,-2.5,0.0
Chasson Randle,PHI,5,PG,6.17,185,February 5 1993,us,0,Stanford University,297311,23,8,0,74,12,26,0.462,6,15,0.4,6,11,0.545,0.577,12,12,1.0,0,5,5,6,3,1,3,11,42,17.7,0.671,0.577,0.462,0.0,7.5,3.7,13.2,2.0,1.1,8.8,20.1,0.2,0.1,0.3,0.197,2.6,-2.7,-0.1,0.0
Sergio Rodriguez,PHI,14,PG,6.25,176,June 12 1986,es,4,,8000000,30,68,30,1518,210,536,0.392,92,252,0.365,118,284,0.415,0.478,18,27,0.667,21,136,157,344,49,4,128,95,530,11.1,0.484,0.47,0.05,1.5,9.9,5.7,35.4,1.6,0.2,18.9,19.3,-0.3,1.0,0.7,0.023,-1.6,-2.3,-3.8,-0.7
Dario Saric,PHI,9,PF,6.83,223,April 8 1994,hr,0,,2318280,22,81,36,2129,381,927,0.411,106,341,0.311,275,586,0.469,0.468,172,220,0.782,112,401,513,182,57,30,183,162,1040,12.8,0.508,0.368,0.237,5.8,20.8,13.3,14.3,1.3,1.1,15.2,24.6,-1.2,2.2,1.0,0.023,-2.0,-0.2,-2.2,-0.1
Tiago Splitter,PHI,47,C,6.92,245,January 1 1985,br,6,,8550000,32,8,0,76,14,31,0.452,2,6,0.333,12,25,0.48,0.484,9,11,0.818,8,14,22,4,1,1,6,8,39,15.0,0.544,0.194,0.355,11.6,20.3,15.9,8.9,0.6,1.0,14.3,23.9,0.1,0.1,0.1,0.072,-2.6,-2.5,-5.0,-0.1
Nik Stauskas,PHI,11,SG,6.5,205,October 7 1993,ca,2,University of Michigan,2993040,23,80,27,2188,251,634,0.396,132,359,0.368,119,275,0.433,0.5,122,150,0.813,21,205,226,188,45,32,128,144,756,9.0,0.54,0.566,0.237,1.1,10.3,5.7,12.9,1.0,1.2,15.5,16.4,0.1,1.4,1.4,0.031,-1.7,-0.7,-2.4,-0.2
Hollis Thompson,PHI,31,SG,6.67,206,April 3 1991,us,3,Georgetown University,442126,25,31,1,561,66,159,0.415,26,71,0.366,40,88,0.455,0.497,13,20,0.65,15,69,84,26,14,6,9,55,171,9.0,0.51,0.447,0.126,2.9,13.6,8.2,7.0,1.2,0.8,5.1,13.7,0.3,0.4,0.7,0.06,-2.3,-0.8,-3.0,-0.1
Andrew Bogut,CLE,6,C,7.0,260,November 28 1984,au,11,University of Utah,242224,32,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,2,0,-35.3,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.02,-5.7,0.0,-5.7,0.0
Kay Felder,CLE,20,PG,5.75,176,March 29 1995,us,0,Oakland University,543471,21,42,0,386,62,158,0.392,7,22,0.318,55,136,0.404,0.415,35,49,0.714,3,38,41,58,18,7,30,38,166,11.4,0.462,0.139,0.31,0.9,10.5,5.9,22.7,2.3,1.5,14.3,24.2,-0.3,0.4,0.1,0.008,-4.8,-1.2,-6.0,-0.4
Channing Frye,CLE,8,C,6.92,255,May 17 1983,us,10,University of Arizona,7806971,33,74,15,1398,238,520,0.458,137,335,0.409,101,185,0.546,0.589,63,74,0.851,37,253,290,45,33,37,53,138,676,15.6,0.612,0.644,0.142,3.0,19.3,11.4,4.9,1.2,2.1,8.8,19.3,2.3,1.4,3.7,0.125,0.8,-1.5,-0.6,0.5
Kyrie Irving,CLE,2,PG,6.25,193,March 23 1992,au,5,Duke University,17638063,24,72,72,2525,671,1420,0.473,177,441,0.401,494,979,0.505,0.535,297,328,0.905,52,178,230,418,83,24,180,157,1816,23.0,0.58,0.311,0.231,2.3,7.5,5.0,29.7,1.6,0.8,10.3,30.8,7.4,1.5,8.9,0.17,4.8,-2.3,2.5,2.9
LeBron James,CLE,23,SF,6.67,250,December 30 1984,us,13,,30963450,32,74,74,2794,736,1344,0.548,124,342,0.363,612,1002,0.611,0.594,358,531,0.674,97,542,639,646,92,44,303,134,1954,27.0,0.619,0.254,0.395,4.0,20.7,12.6,41.3,1.6,1.3,16.1,30.0,9.8,3.0,12.9,0.221,6.8,1.6,8.4,7.3
Richard Jefferson,CLE,24,SF,6.58,233,June 21 1980,us,15,University of Arizona,2500000,36,79,13,1614,153,343,0.446,62,186,0.333,91,157,0.58,0.536,80,108,0.741,28,175,203,78,26,10,52,153,448,8.3,0.574,0.542,0.315,2.0,11.6,6.9,6.6,0.8,0.5,11.8,12.2,1.3,0.8,2.1,0.063,-1.4,-1.0,-2.4,-0.2
Dahntay Jones,CLE,30,SF,6.5,225,December 27 1980,us,12,Rutgers University,24022,36,1,0,12,3,8,0.375,0,2,0.0,3,6,0.5,0.375,3,4,0.75,1,1,2,1,0,0,1,1,9,14.7,0.461,0.25,0.5,9.5,8.9,9.2,14.5,0.0,0.0,9.3,39.9,0.0,0.0,0.0,-0.03,-3.8,-7.1,-10.9,0.0
James Jones,CLE,1,SF,6.67,218,October 4 1980,us,13,University of Miami,1551659,36,48,2,381,44,92,0.478,31,66,0.47,13,26,0.5,0.647,13,20,0.65,3,34,37,14,6,10,10,37,132,11.1,0.655,0.717,0.217,0.9,9.5,5.4,5.2,0.8,2.1,9.0,13.0,0.6,0.2,0.8,0.102,0.0,-1.6,-1.6,0.0
Kyle Korver,CLE,26,SG,6.58,212,March 17 1981,us,13,Creighton University,5239437,35,35,1,859,131,269,0.487,97,200,0.485,34,69,0.493,0.667,14,15,0.933,7,90,97,35,11,8,29,60,373,13.5,0.677,0.743,0.056,0.9,11.2,6.2,6.1,0.6,0.8,9.5,15.8,1.6,0.4,2.0,0.114,2.2,-2.2,0.0,0.4
Kevin Love,CLE,0,PF,6.83,251,September 7 1988,us,8,University of California Los Angeles,21165675,28,60,60,1885,370,867,0.427,145,389,0.373,225,478,0.471,0.51,257,295,0.871,148,518,666,116,53,21,122,125,1142,21.1,0.573,0.449,0.34,8.9,29.3,19.5,9.8,1.4,0.9,10.9,26.4,4.0,2.4,6.4,0.163,1.7,-0.9,0.8,1.3
Jordan McRae,CLE,12,SG,6.5,185,March 28 1991,us,1,University of Tennessee,874636,25,37,4,384,58,150,0.387,18,51,0.353,40,99,0.404,0.447,27,34,0.794,6,35,41,19,8,6,14,31,161,9.7,0.488,0.34,0.227,1.8,9.7,5.9,7.4,1.0,1.3,7.8,20.8,-0.1,0.2,0.2,0.02,-3.7,-2.8,-6.5,-0.4
Larry Sanders,CLE,9,C,6.92,235,November 21 1988,us,5,Virginia Commonwealth University,207722,28,5,0,13,1,4,0.25,0,0,,1,4,0.25,0.25,2,2,1.0,3,1,4,0,1,1,2,5,4,6.5,0.41,0.0,0.5,26.3,8.2,17.0,0.0,3.8,6.2,29.1,23.6,0.0,0.0,0.0,-0.029,-8.7,-0.9,-9.6,0.0
Iman Shumpert,CLE,4,SG,6.42,220,June 26 1990,us,5,Georgia Institute of Technology,9700000,26,76,31,1937,201,489,0.411,94,261,0.36,107,228,0.469,0.507,71,90,0.789,39,179,218,109,62,27,78,150,567,9.0,0.536,0.534,0.184,2.3,9.9,6.2,7.8,1.6,1.1,12.9,14.0,0.7,1.4,2.0,0.05,-1.3,0.0,-1.3,0.3
J.R. Smith,CLE,5,SG,6.5,225,September 9 1985,us,12,,12800000,31,41,35,1187,123,356,0.346,95,271,0.351,28,85,0.329,0.479,10,15,0.667,17,96,113,62,40,11,26,77,351,8.1,0.484,0.761,0.042,1.6,8.6,5.2,7.3,1.7,0.7,6.7,14.6,0.1,0.8,0.8,0.034,-0.5,-0.7,-1.3,0.2
Edy Tavares,CLE,40,C,7.25,260,March 22 1992,cv,1,,5145,24,1,0,24,3,4,0.75,0,0,,3,4,0.75,0.75,0,1,0.0,4,6,10,1,0,6,2,3,6,22.6,0.676,0.0,0.25,19.0,26.7,23.0,6.0,0.0,20.2,31.1,12.0,0.0,0.1,0.1,0.183,-3.1,10.1,7.0,0.1
Tristan Thompson,CLE,13,C,6.75,238,March 13 1991,ca,5,University of Texas at Austin,15330435,25,78,78,2336,262,437,0.6,0,3,0.0,262,434,0.604,0.6,106,213,0.498,286,429,715,77,39,84,64,176,630,15.3,0.594,0.007,0.487,13.9,19.6,16.9,4.6,0.8,2.9,10.8,11.3,5.0,2.3,7.3,0.149,0.0,1.5,1.5,2.0
Deron Williams,CLE,31,PG,6.25,200,June 26 1984,us,11,University of Illinois at Urbana-Champaign,259626,32,24,4,486,68,147,0.463,22,53,0.415,46,94,0.489,0.537,21,25,0.84,1,44,45,86,6,6,40,42,179,11.4,0.566,0.361,0.17,0.2,9.7,5.1,25.9,0.6,1.0,20.2,18.1,0.4,0.2,0.6,0.059,-1.9,-2.6,-4.5,-0.3
Derrick Williams,CLE,3-32,PF,6.67,240,May 25 1991,us,5,University of Arizona,402043,25,25,0,427,54,107,0.505,21,52,0.404,33,55,0.6,0.603,27,39,0.692,3,54,57,14,5,2,14,27,156,11.1,0.628,0.486,0.364,0.8,13.5,7.4,4.7,0.6,0.4,10.1,14.4,0.6,0.2,0.8,0.086,-1.1,-2.1,-3.2,-0.1
Lavoy Allen,IND,5,PF,6.75,260,February 4 1989,us,5,Temple University,4000000,27,61,5,871,77,168,0.458,0,1,0.0,77,167,0.461,0.458,23,33,0.697,105,114,219,57,18,24,29,78,177,11.6,0.485,0.006,0.196,13.7,14.5,14.1,9.1,1.0,2.4,13.7,10.9,0.9,0.8,1.7,0.093,-1.5,1.3,-0.3,0.4
Aaron Brooks,IND,0,PG,6.0,161,January 14 1985,us,8,University of Oregon,2700000,32,65,0,894,121,300,0.403,48,128,0.375,73,172,0.424,0.483,32,40,0.8,18,51,69,125,25,9,66,93,322,9.5,0.507,0.427,0.133,2.3,6.3,4.3,20.7,1.4,0.9,17.2,19.2,-0.2,0.5,0.3,0.016,-2.1,-2.5,-4.6,-0.6
Rakeem Christmas,IND,25,PF,6.75,250,December 1 1991,us,1,Syracuse University,1052342,25,29,0,219,19,43,0.442,0,0,,19,43,0.442,0.442,21,29,0.724,26,30,56,4,3,6,8,37,59,10.4,0.529,0.0,0.674,13.5,15.2,14.4,2.5,0.7,2.4,12.5,13.1,0.3,0.2,0.5,0.099,-3.0,-1.2,-4.2,-0.1
Monta Ellis,IND,11,SG,6.25,185,October 26 1985,us,11,,10770000,31,74,33,1998,247,557,0.443,43,135,0.319,204,422,0.483,0.482,93,128,0.727,19,185,204,236,78,27,135,149,630,9.9,0.514,0.242,0.23,1.1,10.3,5.7,17.2,2.0,1.2,18.0,16.8,-0.7,1.7,1.1,0.026,-2.5,0.2,-2.3,-0.2
Paul George,IND,13,SF,6.75,220,May 2 1990,us,6,California State University Fresno,18314532,26,75,75,2689,622,1348,0.461,195,496,0.393,427,852,0.501,0.534,336,374,0.898,58,434,492,251,119,27,220,206,1775,20.2,0.587,0.368,0.277,2.5,17.9,10.3,16.1,2.2,0.9,12.7,28.9,3.9,3.1,7.1,0.126,3.1,-0.3,2.8,3.2
